school,lat,lon,city,county,state,zip
Boys Latin School Of Maryland,39.372659,-76.636037,Baltimore,Baltimore County,MD,21210
Broadneck High School,39.03994495,-76.45348328,Annapolis,Anne Arundel County,MD,21409
Brookewood School,39.0264125,-77.0741699,Kensington,Montgomery County,MD,20895
Brunswick High School,39.3165375,-77.60829405,Brunswick,Frederick County,MD,21716
Bryn Mawr School For Girls,39.364526,-76.630222,Baltimore,Baltimore County,MD,21210
Bullis School,39.0292221,-77.19795684,Potomac,Montgomery County,MD,20854
C Milton Wright High School,39.5617737,-76.3302369,Bel Air,Harford County,MD,21015
Calvert Hall College Hs,39.39165,-76.581182,Towson,Baltimore County,MD,21286
Calvert High School,38.55296,-76.582884,Prince Frederick,Calvert County,MD,20678
Cambridge South Dorchester Hs,38.543734,-76.090575,Cambridge,Dorchester County,MD,21613
Carver Center Arts & Tech,39.409661,-76.610974,Towson,Baltimore County,MD,21204
Catholic High School Baltimore,39.3160492,-76.57373784,Baltimore,Baltimore City County,MD,21213
Catoctin High School,39.6392587,-77.40846712,Thurmont,Frederick County,MD,21788
Catonsville High School,39.25947095,-76.7311417,Catonsville,Baltimore County,MD,21228
Centennial High School,39.25355915,-76.87024781,Ellicott City,Howard County,MD,21042
Central Senior High School,38.8818,-76.8903,Capitol Heights,Prince George's County,MD,20743
Century High School,39.4250146,-76.99179623,Sykesville,Carroll County,MD,21784
Chapelgate Christian Academy,39.299472,-76.903278,Marriottsville,Howard County,MD,21104
Charles E Smith Jewish Day Sch,39.053962,-77.126672,Rockville,Montgomery County,MD,20852
Charles Herbert Flowers Hs,38.93148565,-76.835071,Springdale,Prince George's County,MD,20774
Chesapeake High School,39.2918248,-76.41952397,Baltimore,Baltimore County,MD,21221
Chesapeake Math & It Academy,39.089973,-76.902772,Laurel,Prince George's County,MD,20707
Chesapeake Math & It South,38.742546,-77.505352,Lanham,Prince George's County,MD,20706
Chesapeake Senior High School,39.110814,-76.462184,Pasadena,Anne Arundel County,MD,21122
Chopticon High School,38.3599126,-76.70634229,Morganza,St. Mary's County,MD,20660
Clarksburg High School,39.2262,-77.2668,Clarksburg,Montgomery County,MD,20871
College Park Academy,38.968209,-76.927482,Hyattsville,Prince George's County,MD,20783
Colonel Richardson High School,38.754806,-75.8283498,Federalsburg,Caroline County,MD,21632
Colonel Zadok Magruder Hs,39.132385,-77.118428,Rockville,Montgomery County,MD,20855
Connelly Sch Of The Holy Child,39.00024695,-77.18738803,Potomac,Montgomery County,MD,20854
Cristo Rey Jesuit High School,39.286044,-76.587442,Baltimore,Baltimore City County,MD,21231
Crossland High School,38.794175,-76.929964,Temple Hills,Prince George's County,MD,20748
Damascus High School,39.2821,-77.2104,Damascus,Montgomery County,MD,20872
Dematha Catholic High School,38.95798365,-76.94215149,Hyattsville,Prince George's County,MD,20781
Digital Harbor Hs #416,39.275877,-76.607552,Baltimore,Baltimore City County,MD,21230
Don Bosco Cristo Rey High Schl,39.27984,-76.576555,Baltimore,Baltimore City County,MD,21224
Dr Henry A Wise Jr Hs,38.834118,-76.78962,Upper Marlboro,Prince George's County,MD,20772
Dulaney High,39.46068935,-76.61258524,Lutherville-Timonium,Baltimore County,MD,21093
Dundalk High,39.2667402,-76.51605969,Baltimore,Baltimore County,MD,21222
