id,school,state,year,applied,admitted
210011,Broadneck High School,Maryland,2021-22,163,106
210011,Broadneck High School,Maryland,2022-23,134,64
210667,Brookewood School,Maryland,2013-14,NA,NA
210667,Brookewood School,Maryland,2014-15,NA,NA
210667,Brookewood School,Maryland,2015-16,NA,NA
210667,Brookewood School,Maryland,2016-17,NA,NA
210667,Brookewood School,Maryland,2017-18,NA,NA
210667,Brookewood School,Maryland,2018-19,12,<10
210667,Brookewood School,Maryland,2019-20,NA,NA
210667,Brookewood School,Maryland,2020-21,10,<10
210667,Brookewood School,Maryland,2021-22,NA,NA
210667,Brookewood School,Maryland,2022-23,NA,NA
210305,Brunswick High School,Maryland,2013-14,29,17
210305,Brunswick High School,Maryland,2014-15,34,22
210305,Brunswick High School,Maryland,2015-16,19,<10
210305,Brunswick High School,Maryland,2016-17,19,12
210305,Brunswick High School,Maryland,2017-18,16,10
210305,Brunswick High School,Maryland,2018-19,39,23
210305,Brunswick High School,Maryland,2019-20,22,16
210305,Brunswick High School,Maryland,2020-21,26,15
210305,Brunswick High School,Maryland,2021-22,41,27
210305,Brunswick High School,Maryland,2022-23,34,23
210050,Bryn Mawr School For Girls,Maryland,2013-14,41,25
210050,Bryn Mawr School For Girls,Maryland,2014-15,35,19
210050,Bryn Mawr School For Girls,Maryland,2015-16,30,17
210050,Bryn Mawr School For Girls,Maryland,2016-17,25,14
210050,Bryn Mawr School For Girls,Maryland,2017-18,42,24
210050,Bryn Mawr School For Girls,Maryland,2018-19,40,22
210050,Bryn Mawr School For Girls,Maryland,2019-20,42,28
210050,Bryn Mawr School For Girls,Maryland,2020-21,42,28
210050,Bryn Mawr School For Girls,Maryland,2021-22,48,29
210050,Bryn Mawr School For Girls,Maryland,2022-23,57,37
210955,Bullis School,Maryland,2013-14,33,17
210955,Bullis School,Maryland,2014-15,38,21
210955,Bullis School,Maryland,2015-16,21,<10
210955,Bullis School,Maryland,2016-17,41,26
210955,Bullis School,Maryland,2017-18,69,38
210955,Bullis School,Maryland,2018-19,90,48
210955,Bullis School,Maryland,2019-20,60,34
210955,Bullis School,Maryland,2020-21,71,37
210955,Bullis School,Maryland,2021-22,62,40
210955,Bullis School,Maryland,2022-23,58,35
210234,C Milton Wright High School,Maryland,2013-14,66,31
210234,C Milton Wright High School,Maryland,2014-15,54,27
