original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,confidence_city_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Brookewood School 10401 Armory Ave,39.0264125,-77.0741699,"Brookewood School, 10401 Armory Avenue, Kensington, MD 20895, United States of America",Brookewood School,10401,Armory Avenue,,20895,,Kensington,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brunswick High School 101 Cummings Dr,39.316537499999995,-77.6082940531787,"Brunswick High School, Cummings Drive, Brunswick, MD 21712, United States of America",Brunswick High School,,Cummings Drive,,21712,,Brunswick,Frederick County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bryn Mawr School for Girls 109 W Melrose Ave,39.364526,-76.630222,"109 West Melrose Avenue, Baltimore, MD 21210, United States of America",,109,West Melrose Avenue,Poplar Hill,21210,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Bullis School 10601 Falls Rd,39.0292221,-77.19795683759372,"Bullis School, 10601 Falls Road, Potomac, MD 20854, United States of America",Bullis School,10601,Falls Road,,20854,Pine Knolls,Potomac,Montgomery County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
C. Milton Wright High School 1301 N Fountain Green Rd,39.5617737,-76.3302369,"C Milton Wright High School, North Fountain Green Road, Southampton, MD 21015, United States of America",C Milton Wright High School,,North Fountain Green Road,,21015,Hampton Ridge,Southampton,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Calvert Hall College High School 8102 La Salle Rd,39.39165,-76.581182,"Calvert Hall College High School, Towson, MD, United States of America",,,Calvert Hall College High School,,,,Towson,Baltimore County,,Maryland,MD,United States,us,0.14285714285714285,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Calvert High School 520 Fox Run Blvd,38.55296,-76.582884,"Calvert High School, 520 Fox Run Boulevard, Prince Frederick, MD 20678, United States of America",Calvert High School,520,Fox Run Boulevard,,20678,,Prince Frederick,Calvert County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cambridge-South Dorchester High School 2475 Cambridge Bypass,38.543734,-76.090575,"Cambridge-South Dorchester High School, Cambridge, MD, United States of America",,,Cambridge-South Dorchester High School,,,,Cambridge,Dorchester County,,Maryland,MD,United States,us,0.1750329,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Carver Center for Arts and Technology 938 York Rd,39.409661,-76.610974,"Carver Center for Arts and Technology, Towson, MD, United States of America",,,Carver Center for Arts and Technology,,,,Towson,Baltimore County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
The Catholic High School of Baltimore 2800 Edison Hwy,39.3160492,-76.5737378424435,"The Catholic High School of Baltimore, Edison Highway, Baltimore, MD 21213, United States of America",The Catholic High School of Baltimore,,Edison Highway,Belair-Edison,21213,Four by Four,Baltimore,,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Catoctin High School 14745 Sabillasville Rd,39.6392587,-77.40846711534401,"Catoctin High School, 14745 Sabillasville Road, Catoctin Heights, MD 21788, United States of America",Catoctin High School,14745,Sabillasville Road,,21788,,Catoctin Heights,Frederick County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Catonsville High School 421 Bloomsbury Ave,39.25947095,-76.73114169573279,"Catonsville High School, 421 Bloomsbury Avenue, Catonsville, MD 21228, United States of America",Catonsville High School,421,Bloomsbury Avenue,,21228,Bloomsbury,Catonsville,Baltimore County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Centennial High School 4300 Centennial Ln,39.25355915,-76.87024781355744,"Centennial High School, 4300 Centennial Lane, Ellicott City, MD 21042, United States of America",Centennial High School,4300,Centennial Lane,Gray Rock,21042,Pine Orchard,Ellicott City,Howard County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Central High School 200 Cabin Branch Rd,40.305789,-78.340265,"Central High School, North Woodbury, PA, United States of America",Central High School,,,,,North Woodbury Township,North Woodbury,Blair County,,Pennsylvania,PA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Century High School 355 Ronsdale Rd,39.4250146,-76.99179622584745,"Century High School, Ronsdale Road, Linton Springs, MD 21784, United States of America",Century High School,,Ronsdale Road,,21784,,Linton Springs,Carroll County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelgate Christian Academy 2600 Marriottsville Rd,39.299472,-76.903278,"Chapelgate Christian Academy, Ellicott City, MD, United States of America",,,Chapelgate Christian Academy,,,,Ellicott City,Howard County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Charles E. Smith Jewish Day School 1901 E Jefferson St,39.053962,-77.126672,"Charles E Smith Jewish Day School, North Bethesda, MD, United States of America",,,Charles E Smith Jewish Day School,,,,North Bethesda,Montgomery County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Charles Herbert Flowers High School 10001 Ardwick Ardmore Rd,38.93148565,-76.83507099953341,"Charles Herbert Flowers High School, 10001 Ardwick Ardmore Road, Springdale, MD 20774, United States of America",Charles Herbert Flowers High School,10001,Ardwick Ardmore Road,,20774,Springdale Gardens,Springdale,Prince George's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chesapeake High School 1801 Turkey Point Rd,39.2918248,-76.41952397255386,"Chesapeake High School, Tondo Road, Dundalk, MD 21221, United States of America",Chesapeake High School,,Tondo Road,,21221,Cape May Landing,Dundalk,Baltimore County,,Maryland,MD,United States,us,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chesapeake Math & IT Academy 6100 Frost Pl,39.089973,-76.902772,"6100 Frost Place, Laurel, MD 20707, United States of America",,6100,Frost Place,,20707,,Laurel,Prince George's County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Chesapeake Math & IT South 9825 Godwin Dr,38.742546,-77.505352,"9825 Godwin Drive, Manassas, VA 20110, United States of America",,9825,Godwin Drive,,20110,,Manassas,City of Manassas,,Virginia,VA,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Chesapeake Senior High School 4798 Mountain Rd,39.110814,-76.462184,"4798 Mountain Road, Pasadena, MD 21122, United States of America",,4798,Mountain Road,,21122,,Pasadena,Anne Arundel County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Chopticon High School 25390 Colton Point Rd,38.3599126,-76.70634228961057,"Chopticon High School, Colton Point Road, Morganza, MD 20660, United States of America",Chopticon High School,,Colton Point Road,,20660,,Morganza,Saint Mary's County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
